1785125715631097774 cluster=intermediate_queue_0 done=157 window_fps=18.30
1785125715735968747 cluster=intermediate_queue_1 done=38 window_fps=4.55
1785125717661942689 cluster=intermediate_queue_0 done=158 window_fps=18.31
1785125717757025082 cluster=intermediate_queue_1 done=39 window_fps=4.58
1785125719727414839 cluster=intermediate_queue_0 done=159 window_fps=17.52
1785125720437672918 cluster=intermediate_queue_0 done=160 window_fps=18.78
1785125721745768586 cluster=intermediate_queue_0 done=161 window_fps=17.96
1785125722993177691 cluster=intermediate_queue_0 done=162 window_fps=18.40
1785125724293230236 cluster=intermediate_queue_0 done=163 window_fps=19.87
1785125725812508777 cluster=intermediate_queue_0 done=164 window_fps=18.93
1785125727837091552 cluster=intermediate_queue_0 done=165 window_fps=18.56
1785125731339626849 cluster=intermediate_queue_0 done=166 window_fps=17.56
1785125731996086403 cluster=intermediate_queue_1 done=40 window_fps=4.62
1785125733368268269 cluster=intermediate_queue_0 done=167 window_fps=16.76
1785125735409612470 cluster=intermediate_queue_0 done=168 window_fps=17.21
1785125736189613555 cluster=intermediate_queue_0 done=169 window_fps=18.19
1785125737986434328 cluster=intermediate_queue_0 done=170 window_fps=17.18
1785125738043250342 cluster=intermediate_queue_1 done=41 window_fps=4.49
1785125740320874837 cluster=intermediate_queue_0 done=171 window_fps=16.85
1785125740553727257 cluster=intermediate_queue_0 done=172 window_fps=19.26
1785125740614373806 cluster=intermediate_queue_1 done=42 window_fps=4.49
1785125742348129904 cluster=intermediate_queue_0 done=173 window_fps=19.44
1785125742571404027 cluster=intermediate_queue_0 done=174 window_fps=21.01
1785125746384166695 cluster=intermediate_queue_0 done=175 window_fps=18.50
1785125748423036060 cluster=intermediate_queue_0 done=176 window_fps=17.99
1785125749653450871 cluster=intermediate_queue_0 done=177 window_fps=18.00
1785125751823002419 cluster=intermediate_queue_0 done=178 window_fps=17.44
1785125752860671891 cluster=intermediate_queue_1 done=43 window_fps=4.60
1785125753071331610 cluster=intermediate_queue_0 done=179 window_fps=17.61
1785125754344809759 cluster=intermediate_queue_0 done=180 window_fps=18.11
1785125755108780621 cluster=intermediate_queue_0 done=181 window_fps=20.19
1785125757640775541 cluster=intermediate_queue_0 done=182 window_fps=19.78
1785125758448647896 cluster=intermediate_queue_0 done=183 window_fps=20.83
1785125758948712699 cluster=intermediate_queue_1 done=44 window_fps=4.44
1785125760992685995 cluster=intermediate_queue_1 done=45 window_fps=4.46
1785125762008973595 cluster=intermediate_queue_0 done=184 window_fps=18.59
1785125764040547371 cluster=intermediate_queue_0 done=185 window_fps=18.42
1785125766119382930 cluster=intermediate_queue_0 done=186 window_fps=18.61
1785125766346755891 cluster=intermediate_queue_0 done=187 window_fps=18.61
1785125768179046489 cluster=intermediate_queue_0 done=188 window_fps=18.58
1785125770440229315 cluster=intermediate_queue_0 done=189 window_fps=17.22
1785125770712168145 cluster=intermediate_queue_0 done=190 window_fps=19.73
1785125772497300342 cluster=intermediate_queue_0 done=191 window_fps=19.94
1785125774150276589 cluster=intermediate_queue_1 done=46 window_fps=4.61
1785125774530303532 cluster=intermediate_queue_0 done=192 window_fps=19.30
1785125777319306307 cluster=intermediate_queue_0 done=193 window_fps=18.83
