1785128208373803572 cluster=intermediate_queue_0 done=195 window_fps=18.29
1785128209065516386 cluster=intermediate_queue_0 done=196 window_fps=17.86
1785128211537825835 cluster=intermediate_queue_0 done=197 window_fps=18.53
1785128212118839746 cluster=intermediate_queue_1 done=79 window_fps=9.15
1785128212743091110 cluster=intermediate_queue_0 done=198 window_fps=17.77
1785128214864394943 cluster=intermediate_queue_0 done=199 window_fps=18.68
1785128215897849624 cluster=intermediate_queue_0 done=200 window_fps=18.22
1785128215915014669 cluster=intermediate_queue_1 done=80 window_fps=9.12
1785128218204715321 cluster=intermediate_queue_0 done=201 window_fps=18.82
1785128219334180133 cluster=intermediate_queue_0 done=202 window_fps=18.50
1785128219463936203 cluster=intermediate_queue_1 done=81 window_fps=9.06
1785128221473269304 cluster=intermediate_queue_0 done=203 window_fps=19.06
1785128223086442258 cluster=intermediate_queue_0 done=204 window_fps=18.27
1785128223398017766 cluster=intermediate_queue_1 done=82 window_fps=8.95
1785128224881269952 cluster=intermediate_queue_0 done=205 window_fps=18.71
1785128226584392975 cluster=intermediate_queue_0 done=206 window_fps=18.90
1785128226888257783 cluster=intermediate_queue_1 done=83 window_fps=9.00
1785128228608912066 cluster=intermediate_queue_0 done=207 window_fps=18.43
1785128230309342644 cluster=intermediate_queue_1 done=84 window_fps=9.04
1785128230412751452 cluster=intermediate_queue_0 done=208 window_fps=18.82
1785128231852508486 cluster=intermediate_queue_0 done=209 window_fps=18.47
1785128233484010193 cluster=intermediate_queue_1 done=85 window_fps=9.04
1785128234064645603 cluster=intermediate_queue_0 done=210 window_fps=18.68
1785128235756953426 cluster=intermediate_queue_0 done=211 window_fps=17.98
1785128236809986416 cluster=intermediate_queue_1 done=86 window_fps=9.05
1785128238034923259 cluster=intermediate_queue_0 done=212 window_fps=18.12
1785128239393154417 cluster=intermediate_queue_0 done=213 window_fps=18.01
1785128240012624423 cluster=intermediate_queue_1 done=87 window_fps=9.15
1785128241083704930 cluster=intermediate_queue_0 done=214 window_fps=18.31
1785128243046102438 cluster=intermediate_queue_0 done=215 window_fps=17.68
1785128243501445545 cluster=intermediate_queue_1 done=88 window_fps=9.13
1785128244557365561 cluster=intermediate_queue_0 done=216 window_fps=18.21
1785128246527389805 cluster=intermediate_queue_0 done=217 window_fps=17.65
1785128247506140776 cluster=intermediate_queue_1 done=89 window_fps=9.03
1785128248084792116 cluster=intermediate_queue_0 done=218 window_fps=18.04
1785128250374898496 cluster=intermediate_queue_0 done=219 window_fps=17.59
1785128251126257925 cluster=intermediate_queue_1 done=90 window_fps=8.96
1785128251493105589 cluster=intermediate_queue_0 done=220 window_fps=18.04
1785128254003202630 cluster=intermediate_queue_0 done=221 window_fps=17.51
1785128254542665233 cluster=intermediate_queue_1 done=91 window_fps=8.95
1785128255159116824 cluster=intermediate_queue_0 done=222 window_fps=18.08
1785128257203307751 cluster=intermediate_queue_0 done=223 window_fps=17.92
1785128257431251945 cluster=intermediate_queue_1 done=92 window_fps=9.07
1785128259161767507 cluster=intermediate_queue_0 done=224 window_fps=17.58
1785128260223891280 cluster=intermediate_queue_0 done=225 window_fps=18.35
1785128260693400879 cluster=intermediate_queue_1 done=93 window_fps=9.14
1785128263216435584 cluster=intermediate_queue_0 done=226 window_fps=17.48
1785128263552959695 cluster=intermediate_queue_0 done=227 window_fps=18.81
1785128264302815013 cluster=intermediate_queue_1 done=94 window_fps=9.20
1785128266814223160 cluster=intermediate_queue_0 done=228 window_fps=17.50
1785128267327949120 cluster=intermediate_queue_0 done=229 window_fps=18.29
1785128267468911857 cluster=intermediate_queue_1 done=95 window_fps=9.31
1785128270298394930 cluster=intermediate_queue_1 done=96 window_fps=9.44
1785128270521632984 cluster=intermediate_queue_0 done=230 window_fps=17.47
1785128271274705668 cluster=intermediate_queue_0 done=231 window_fps=17.97
1785128273672660538 cluster=intermediate_queue_0 done=232 window_fps=17.68
1785128273684585226 cluster=intermediate_queue_1 done=97 window_fps=9.55
1785128275283676871 cluster=intermediate_queue_0 done=233 window_fps=17.65
1785128277230666360 cluster=intermediate_queue_1 done=98 window_fps=9.53
1785128277268590534 cluster=intermediate_queue_0 done=234 window_fps=17.85
1785128278683286108 cluster=intermediate_queue_0 done=235 window_fps=17.65
1785128280517202401 cluster=intermediate_queue_0 done=236 window_fps=18.10
1785128281106934918 cluster=intermediate_queue_1 done=99 window_fps=9.45
1785128282150908667 cluster=intermediate_queue_0 done=237 window_fps=17.78
1785128284475491561 cluster=intermediate_queue_1 done=100 window_fps=9.41
1785128284573732745 cluster=intermediate_queue_0 done=238 window_fps=17.54
1785128285651277154 cluster=intermediate_queue_0 done=239 window_fps=18.12
1785128287956161518 cluster=intermediate_queue_1 done=101 window_fps=9.38
1785128287981472919 cluster=intermediate_queue_0 done=240 window_fps=17.29
1785128289426929066 cluster=intermediate_queue_0 done=241 window_fps=18.31
1785128291512318734 cluster=intermediate_queue_1 done=102 window_fps=9.32
1785128291688673715 cluster=intermediate_queue_0 done=242 window_fps=17.06
1785128292731200800 cluster=intermediate_queue_0 done=243 window_fps=18.52
1785128295071555752 cluster=intermediate_queue_0 done=244 window_fps=17.30
1785128295335932374 cluster=intermediate_queue_1 done=103 window_fps=9.26
1785128296020217311 cluster=intermediate_queue_0 done=245 window_fps=18.82
1785128298569106390 cluster=intermediate_queue_0 done=246 window_fps=17.59
1785128298660892658 cluster=intermediate_queue_1 done=104 window_fps=9.38
1785128299812942797 cluster=intermediate_queue_0 done=247 window_fps=18.36
1785128302037906917 cluster=intermediate_queue_0 done=248 window_fps=17.94
1785128302376797507 cluster=intermediate_queue_1 done=105 window_fps=9.37
1785128303230024589 cluster=intermediate_queue_0 done=249 window_fps=18.49
1785128305187659552 cluster=intermediate_queue_0 done=250 window_fps=18.11
1785128305986352630 cluster=intermediate_queue_1 done=106 window_fps=9.33
1785128306678610075 cluster=intermediate_queue_0 done=251 window_fps=18.35
1785128308629746188 cluster=intermediate_queue_0 done=252 window_fps=18.13
1785128309464806818 cluster=intermediate_queue_1 done=107 window_fps=9.22
1785128310122333863 cluster=intermediate_queue_0 done=253 window_fps=18.79
1785128312304392976 cluster=intermediate_queue_0 done=254 window_fps=18.01
1785128313194399799 cluster=intermediate_queue_1 done=108 window_fps=9.14
1785128313238338100 cluster=intermediate_queue_0 done=255 window_fps=19.00
1785128315858456326 cluster=intermediate_queue_0 done=256 window_fps=18.16
1785128316291841266 cluster=intermediate_queue_1 done=109 window_fps=9.23
1785128317119484581 cluster=intermediate_queue_0 done=257 window_fps=18.87
1785128319805300864 cluster=intermediate_queue_0 done=258 window_fps=17.73
1785128319896363170 cluster=intermediate_queue_1 done=110 window_fps=9.16
